Posição,Distrito,Pontuação
1º,Moema,"75,68"
2º,Butantã,74
3º,Vila Mariana,"71,91"
4º,Itaim Bibi,"71,16"
5º,Lapa,"70,95"
6º,Alto de Pinheiros,"70,92"
7º,Perdizes,"70,77"
8º,Pinheiros,"70,75"
9º,Consolação,"70,16"
10º,Morumbi,"69,48"
11º,Cambuci,"68,57"
12º,Bom Retiro,"68,08"
13º,Saúde,"67,98"
14º,Socorro,"67,77"
15º,Jaguara,"67,3"
16º,Santo Amaro,"67,3"
17º,Ipiranga,"67,25"
18º,Bela Vista,"66,6"
19º,Jaguaré,"66,37"
20º,Liberdade,"65,72"
21º,Jardim Paulista,"65,54"
22º,Água Rasa,"65,5"
23º,Carrão,"64,91"
24º,Parque do Carmo,"64,39"
25º,Belém,"64,37"
26º,Vila Prudente,"64,27"
27º,Campo Grande,"64,16"
28º,Vila Matilde,"64,05"
29º,Artur Alvim,"63,89"
30º,Ermelino Matarazzo,"63,73"
31º,Tucuruvi,"63,73"
32º,Mandaqui,"63,59"
33º,Santa Cecília,"63,2"
34º,Barra Funda,"63,19"
35º,Vila Guilherme,"63,09"
36º,Casa Verde,"62,98"
37º,São Domingos,"62,98"
38º,Pirituba,"62,75"
39º,Cidade Dutra,"62,52"
40º,Moóca,"62,5"
41º,José Bonifácio,"62,39"
42º,Pari,"62,28"
43º,Anhanguera,"61,82"
44º,São Mateus,"61,82"
45º,Sé,"61,75"
46º,Vila Formosa,"61,73"
47º,Freguesia do Ó,"61,61"
48º,Vila Sônia,"61,52"
49º,República,"61,47"
50º,Tatuapé,"61,41"
51º,Parelheiros,"61,27"
52º,Vila Andrade,"61,25"
53º,Vila Leopoldina,"61,14"
54º,Aricanduva,"61,07"
55º,São Rafael,"60,89"
56º,São Lucas,"60,7"
57º,Cachoeirinha,"60,68"
58º,Jabaquara,"60,59"
59º,Cursino,"60,52"
60º,Perus,"60,3"
61º,Marsilac,"60,13"
62º,Campo Belo,60
63º,Vila Jacuí,"59,89"
64º,Jardim Helena,"59,82"
65º,Rio Pequeno,"59,52"
66º,Cidade Líder,"59,37"
67º,Santana,"59,3"
68º,Vila Maria,"59,27"
69º,Raposo Tavares,"59,16"
70º,Campo Limpo,"58,73"
71º,Cangaíba,"58,59"
72º,Jardim São Luís,"58,55"
73º,Cidade Tiradentes,"58,09"
74º,Penha,"57,8"
75º,Sacomã,"57,8"
76º,Ponte Rasa,"57,66"
77º,Sapopemba,"57,55"
78º,São Miguel,"57,2"
79º,Iguatemi,"57,02"
80º,Guaianases,"56,82"
81º,Jaraguá,"56,82"
82º,Limão,"56,74"
83º,Lajeado,"56,68"
84º,Brás,"56,58"
85º,Jaçanã,"56,45"
86º,Itaim Paulista,"55,89"
87º,Grajaú,"55,8"
88º,Jardim Ângela,"55,75"
89º,Itaquera,"55,52"
90º,Pedreira,"55,52"
91º,Vila Curuçá,"55,3"
92º,Cidade Ademar,"54,91"
93º,Vila Medeiros,"53,55"
94º,Capão Redondo,"53,5"
95º,Tremembé,"50,16"
96º,Brasilândia,"49,39"